,0,1,2,3,4,5
132,2019-10-14,CPN,STATE STREET EUROPE LIMITED,"135,862,915",63.00,3.03
133,2019-10-14,CPN,สำนักงานประกันสังคม,"96,145,200",63.00,2.14
134,2019-10-14,CPN,BBHISL NOMINEES LIMITED,"94,089,000",63.00,2.10
135,2019-10-14,CPN,BANK OF SINGAPORE LIMITED-SEG,"79,490,020",63.00,1.77
136,2019-10-14,CPN,"CREDIT SUISSE AG, HONG KONG BRANCH","74,906,560",63.00,1.67
137,2019-10-14,CPN,UBS AG SINGAPORE BRANCH,"65,893,600",63.00,1.47
138,2019-10-14,CPN,BANK OF SINGAPORE LIMITED-THB SEG AC,"57,850,648",63.00,1.29
139,2019-10-14,DELTA,Delta Electronics Int`l (Singapore) Pte. Ltd,"534,479,306",52.50,42.85
140,2019-10-14,DELTA,CITI (NOMINEES) LIMITED-CBHK-PBGSG-RESTRICTED SHARES,"364,829,870",52.50,29.25
141,2019-10-14,DELTA,DELTA ELECTRONICS INC.,"69,128,140",52.50,5.54
142,2019-10-14,DELTA,"THE HONGKONG AND SHANGHAI BANKING CORPORATION LIMITED, HONGKONG BRANCH","60,200,000",52.50,4.83
143,2019-10-14,DELTA,RAFFLES NOMINEES (PTE) LIMITED,"57,505,000",52.50,4.61
144,2019-10-14,DELTA,UBS AG HONG KONG BRANCH,"54,760,000",52.50,4.39
145,2019-10-14,DELTA,บริษัท  ไทยเอ็นวีดีอาร์ จำกัด,"25,732,463",52.50,2.06
146,2019-10-14,DELTA,RBC INVESTOR SERVICES TRUST,"16,888,540",52.50,1.35
147,2019-10-14,DTAC,TELENOR ASIA PTE LTD,"1,009,172,497",60.25,42.62
148,2019-10-14,DTAC,บริษัท  ไทย เทลโค โฮลดิ้งส์ จำกัด,"531,001,300",60.25,22.43
149,2019-10-14,DTAC,บริษัท  ไทยเอ็นวีดีอาร์ จำกัด,"249,609,343",60.25,10.54
150,2019-10-14,DTAC,บริษัท  ทีโอที จำกัด (มหาชน),"132,145,250",60.25,5.58
151,2019-10-14,DTAC,สำนักงานประกันสังคม,"53,459,600",60.25,2.26
152,2019-10-14,DTAC,STATE STREET EUROPE LIMITED,"22,898,098",60.25,0.97
153,2019-10-14,DTAC,กองทุนเปิด  กรุงศรีหุ้นระยะยาวปันผล,"19,368,700",60.25,0.82
154,2019-10-14,EA,UBS AG SINGAPORE BRANCH,"901,298,593",51.25,24.16
155,2019-10-14,EA,นาย สมโภชน์ อาหุนัย,"876,436,386",51.25,23.50
156,2019-10-14,EA,SOTUS & FAITH # 1 LIMITED,"200,000,000",51.25,5.36
157,2019-10-14,EA,นาง มุกดา บุญเสี่ยง,"167,741,043",51.25,4.50
158,2019-10-14,EA,บริษัท  ไทยเอ็นวีดีอาร์ จำกัด,"163,233,820",51.25,4.38
159,2019-10-14,EA,นาย ลุชัย ภุขันอนันต์,"145,607,408",51.25,3.90
160,2019-10-14,EA,นาย อมร ทรัพย์ทวีกุล,"99,968,316",51.25,2.68
161,2019-10-14,EA,น.ส. พลอยส่องแสง นพรัมภา,"68,970,700",51.25,1.85
162,2019-10-14,EA,SOUTH EAST ASIA UK (TYPE C) NOMINEES LIMITED,"56,012,650",51.25,1.50
163,2019-10-14,EA,นาย สมเกียรติ ธนัตถ์เจริญกุล,"55,473,800",51.25,1.49
164,2019-10-14,EGCO,การไฟฟ้าฝ่ายผลิตแห่งประเทศไทย,"133,773,662",360.00,25.41
165,2019-10-14,EGCO,TEPDIA Generating B.V.,"126,054,178",360.00,23.94
166,2019-10-14,EGCO,บริษัท  ไทยเอ็นวีดีอาร์ จำกัด,"61,956,023",360.00,11.77
167,2019-10-14,EGCO,STATE STREET EUROPE LIMITED,"13,627,755",360.00,2.59
168,2019-10-14,EGCO,สำนักงานประกันสังคม,"12,529,500",360.00,2.38
169,2019-10-14,EGCO,กองทุนเปิด  บัวหลวงหุ้นระยะยาว,"10,336,400",360.00,1.96
170,2019-10-14,EGCO,SOUTH EAST ASIA UK (TYPE C) NOMINEES LIMITED,"9,357,120",360.00,1.78
171,2019-10-14,EGCO,กองทุนเปิด  บัวหลวงหุ้นระยะยาว 75/25,"5,409,400",360.00,1.03
172,2019-10-14,EGCO,NORTRUST NOMINEES LTD-CL AC,"4,849,912",360.00,0.92
173,2019-10-14,EGCO,นาย สุวรรณ ไอศุริยกรเทพ,"4,588,000",360.00,0.87
174,2019-10-14,GLOBAL,บริษัท  เอสซีจี ดิสทริบิวชั่น จำกัด,"1,201,047,160",15.30,30.02
175,2019-10-14,GLOBAL,น.ส. กุณฑี สุริยวนากุล,"470,508,986",15.30,11.76
176,2019-10-14,GLOBAL,นาย เกรียงไกร สุริยวนากุล,"464,844,750",15.30,11.62
177,2019-10-14,GLOBAL,บริษัท  ไทยเอ็นวีดีอาร์ จำกัด,"216,574,841",15.30,5.41
178,2019-10-14,GLOBAL,นาย ก้องภพ สุริยวนากุล,"157,522,496",15.30,3.94
179,2019-10-14,GLOBAL,น.ส. ชามา สุริยวนากุล,"156,187,500",15.30,3.90
180,2019-10-14,GLOBAL,ด.ช. กอกฤษต สุริยวนากุล,"155,039,062",15.30,3.87
181,2019-10-14,GLOBAL,สำนักงานประกันสังคม,"109,900,725",15.30,2.75
182,2019-10-14,GLOBAL,นาย เจียรนัย เลิศรัชต์กุล,"77,683,110",15.30,1.94
